"","Civil.Service.grad","gradeval","Group","Gender","Date","count","total","share","gradescore","sorter","totalgroup","share2","left","grp","yvar"
"93","EO",2,"DCMS","Male",2014,20,390,0.0512820512820513,0.256410256410256,0.656410256410256,FALSE,-0.0256410256410256,FALSE,"FALSE2014",-0.0256410256410256
"94","EO",2,"DCMS","Female",2014,30,390,0.0769230769230769,0.256410256410256,0.656410256410256,FALSE,-0.0384615384615385,FALSE,"FALSE2014",-0.0384615384615385
"95","G6/G7",4,"DCMS","Female",2014,60,390,0.153846153846154,1.33333333333333,0.656410256410256,FALSE,-0.0769230769230769,FALSE,"FALSE2014",-0.0769230769230769
"96","G6/G7",4,"DCMS","Male",2014,70,390,0.179487179487179,1.33333333333333,0.656410256410256,FALSE,-0.0897435897435897,FALSE,"FALSE2014",-0.0897435897435897
"97","SCS",5,"DCMS","Male",2014,20,390,0.0512820512820513,0.512820512820513,0.656410256410256,FALSE,-0.0256410256410256,FALSE,"FALSE2014",-0.0256410256410256
"98","SCS",5,"DCMS","Female",2014,20,390,0.0512820512820513,0.512820512820513,0.656410256410256,FALSE,-0.0256410256410256,FALSE,"FALSE2014",-0.0256410256410256
"99","SEO/HEO",3,"DCMS","Female",2014,70,390,0.179487179487179,1.07692307692308,0.656410256410256,FALSE,-0.0897435897435897,FALSE,"FALSE2014",-0.0897435897435897
"100","SEO/HEO",3,"DCMS","Male",2014,70,390,0.179487179487179,1.07692307692308,0.656410256410256,FALSE,-0.0897435897435897,FALSE,"FALSE2014",-0.0897435897435897
"101","AO/AA",1,"DCMS","Female",2010,20,720,0.0277777777777778,0.0416666666666667,0.658333333333333,FALSE,0.0138888888888889,TRUE,"TRUE2010",0.0138888888888889
"102","AO/AA",1,"DCMS","Male",2010,10,720,0.0138888888888889,0.0416666666666667,0.658333333333333,FALSE,0.00694444444444444,TRUE,"TRUE2010",0.00694444444444444
